"Date","Weight"
"12/04/2014","188.0"
"12/03/2014","189.4"
"12/02/2014","189.2"
"12/01/2014","190.0"
"11/29/2014","189.6"
"11/28/2014","189.8"
"11/26/2014","190.4"
"11/25/2014","191.0"
"11/24/2014","196.2"
"11/23/2014","196.0"
"08/10/2014","182.4"
"07/25/2014","178.8"
"07/24/2014","180.8"
"07/09/2014","180.4"
"06/28/2014","179.2"
"06/13/2014","183.4"
"06/12/2014","181.8"
"06/05/2014","180.8"
"06/04/2014","180.3"
"06/03/2014","183.4"
"06/02/2014","183.0"
"05/31/2014","181.0"
"05/30/2014","182.4"
"05/29/2014","183.2"
"05/28/2014","182.8"
"05/22/2014","186.6"
"05/21/2014","185.2"
"05/20/2014","187.8"
"05/01/2014","176.0"
"04/28/2014","173.0"
"04/22/2014","180.0"
"04/21/2014","178.0"
"04/11/2014","186.0"
"04/10/2014","187.0"
"03/20/2014","177.4"
"03/19/2014","177.6"
"03/16/2014","177.5"
"03/15/2014","178.2"
"03/13/2014","178.8"
"03/12/2014","180.4"
"03/01/2014","179.0"
"02/27/2014","176.0"
"02/26/2014","176.0"
"02/23/2014","176.0"
"02/20/2014","175.0"
"02/18/2014","174.0"
"02/17/2014","174.0"
"02/16/2014","176.0"
"02/15/2014","176.0"
"02/14/2014","180.0"
"02/13/2014","179.0"
"02/10/2014","180.0"
"02/09/2014","179.0"
"02/08/2014","180.0"
"02/07/2014","180.0"
"02/05/2014","180.0"
"02/04/2014","179.5"
"02/03/2014","178.0"
"02/02/2014","176.0"
"02/01/2014","176.0"
"01/31/2014","179.0"
"01/30/2014","176.5"
"01/29/2014","178.0"
"01/28/2014","177.0"
"01/27/2014","177.0"
"01/26/2014","177.1"
"01/25/2014","177.1"
"01/24/2014","175.2"
"01/23/2014","174.9"
"01/22/2014","180.5"
"01/21/2014","180.5"
"01/20/2014","180.5"
"01/19/2014","180.5"
"01/18/2014","180.3"
"01/17/2014","180.0"
"01/16/2014","179.0"
"01/15/2014","179.0"
"01/14/2014","179.0"
"01/13/2014","178.9"
"01/12/2014","180.0"
"01/11/2014","181.0"
"01/10/2014","180.4"
"01/09/2014","184.8"
"01/08/2014","185.6"
"01/07/2014","181.8"
"01/06/2014","182.0"
"01/05/2014","180.8"
"01/04/2014","180.8"
"01/03/2014","183.6"
"01/02/2014","183.8"
"01/01/2014","184.4"
"12/31/2013","187.2"
"12/30/2013","187.6"
"12/29/2013","192.4"
"12/28/2013","192.2"
"11/02/2013","195.25"
"10/30/2013","197.0"
"10/28/2013","190.8"
"10/23/2013","192.2"
"10/17/2013","198.2"
"09/05/2013","186.0"
"08/12/2013","177.6"
"08/07/2013","178.0"
"08/06/2013","177.0"
"08/03/2013","177.6"
"08/02/2013","178.4"
"07/29/2013","179.2"
"07/27/2013","180.4"
"07/25/2013","181.4"
"07/24/2013","183.0"
"07/23/2013","187.0"
"07/06/2013","176.2"
"07/05/2013","179.2"
"07/01/2013","177.2"
"06/30/2013","179.2"
"06/28/2013","179.6"
"06/22/2013","176.2"
"06/20/2013","179.6"
"06/19/2013","178.0"
"06/18/2013","180.2"
"06/13/2013","179.8"
"06/12/2013","181.6"
"06/09/2013","181.4"
"06/08/2013","182.6"
"06/06/2013","185.8"
"06/04/2013","182.4"
"06/03/2013","183.2"
"06/02/2013","184.4"
"05/22/2013","185.2"
"05/21/2013","185.4"
"05/20/2013","182.6"
"05/06/2013","179.6"
"05/04/2013","183.0"
"04/30/2013","184.4"
"04/24/2013","185.6"
"04/13/2013","184.8"
"04/07/2013","185.0"
"03/12/2013","189.2"
"02/28/2013","190.0"
"02/19/2013","191.2"
"02/16/2013","189.0"
"02/11/2013","191.0"
"02/08/2013","189.4"
"01/29/2013","190.4"
"01/26/2013","188.8"
"01/25/2013","191.2"
"01/24/2013","192.6"
"01/23/2013","192.4"
"01/22/2013","193.6"
"01/20/2013","191.0"
"01/18/2013","191.4"
"01/17/2013","192.0"
"01/16/2013","193.2"
"01/15/2013","192.4"
"01/13/2013","194.4"
"01/07/2013","195.8"
"01/05/2013","195.4"
"01/04/2013","195.6"
"01/03/2013","197.6"
"01/02/2013","199.8"
"01/01/2013","201.0"
"12/31/2012","201.2"
"12/04/2012","191.0"
"11/30/2012","190.4"
"11/23/2012","188.4"
"11/21/2012","191.6"
"11/08/2012","192.2"
"11/05/2012","193.0"
"11/04/2012","190.0"
"10/30/2012","193.6"
"10/16/2012","197.6"
"10/12/2012","197.6"
"10/05/2012","197.6"
"09/27/2012","194.8"
"09/26/2012","194.4"
"09/25/2012","198.0"
"09/21/2012","197.0"
"09/20/2012","196.0"
"09/19/2012","196.4"
"09/16/2012","194.6"
"09/14/2012","194.2"
"09/13/2012","195.2"
"09/12/2012","194.8"
"09/11/2012","195.4"
"09/10/2012","198.0"
"09/09/2012","199.8"
"09/08/2012","200.8"
"09/07/2012","201.6"
"09/05/2012","202.0"
"08/18/2012","200.0"
"08/17/2012","202.6"
"08/16/2012","203.0"
"08/15/2012","202.8"
"08/14/2012","203.8"
"08/13/2012","204.8"
"08/12/2012","204.2"
"08/11/2012","203.0"
"08/10/2012","204.2"
"08/09/2012","204.2"
"08/08/2012","204.8"
"08/07/2012","206.0"
"08/06/2012","208.6"
"08/04/2012","207.6"
"08/03/2012","208.4"
"08/02/2012","210.0"
"08/01/2012","211.0"
"07/31/2012","211.4"
"07/27/2012","209.4"
"07/26/2012","208.4"
"07/25/2012","210.4"
"07/24/2012","209.4"
"07/23/2012","211.4"
"07/22/2012","211.0"
"07/19/2012","208.6"
"07/18/2012","209.8"
"07/17/2012","209.8"
"07/16/2012","213.4"
"07/14/2012","209.8"
"07/13/2012","210.0"
"07/11/2012","211.0"
"07/10/2012","211.4"
"07/09/2012","209.4"
"07/06/2012","210.0"
"07/03/2012","213.4"
"07/01/2012","211.6"
"06/29/2012","212.4"
"06/28/2012","213.4"
"06/27/2012","212.8"
"06/25/2012","213.4"
"06/22/2012","216.4"
"06/21/2012","218.4"
"06/16/2012","215.0"
"06/15/2012","215.6"
"06/07/2012","216.4"
"06/06/2012","215.6"
"06/05/2012","217.6"
"06/01/2012","216.9"
"05/30/2012","216.0"
"05/28/2012","219.4"
"05/27/2012","218.2"
"05/25/2012","216.8"
"05/24/2012","217.2"
"05/23/2012","219.2"
"05/22/2012","220.4"
"05/21/2012","218.6"
"05/20/2012","219.2"
"05/19/2012","220.0"
"05/17/2012","219.4"
"05/16/2012","220.0"
"05/15/2012","220.2"
"05/14/2012","220.4"
"05/12/2012","219.0"
"05/11/2012","220.4"
"05/10/2012","220.4"
"05/09/2012","220.6"
"05/08/2012","221.4"
"05/05/2012","220.4"
"05/04/2012","221.8"
"05/03/2012","222.0"
"05/02/2012","224.4"
"05/01/2012","224.2"
"04/30/2012","225.4"
"04/27/2012","224.2"
"04/26/2012","222.8"
"04/25/2012","223.8"
"04/24/2012","224.4"
"04/23/2012","226.0"
"04/20/2012","224.2"
"04/19/2012","224.8"
"04/18/2012","225.4"
"04/17/2012","226.2"
"04/16/2012","227.8"
"04/15/2012","229.2"
"04/13/2012","227.2"
"04/12/2012","229.0"
"04/11/2012","231.2"
"03/14/2012","232.4"
"03/09/2012","231.0"
"03/07/2012","230.4"
"03/06/2012","230.8"
"03/05/2012","235.2"
"01/19/2012","231.8"
"01/10/2012","229.4"
"12/15/2011","228.6"
"12/09/2011","228.0"
"07/08/2011","220.6"
"07/06/2011","224.4"
"04/08/2011","211.8"
"04/07/2011","212.8"
"03/24/2011","214.2"
"03/23/2011","214.6"
"03/03/2011","216.4"
"02/25/2011","216.4"
"01/04/2011","222.6"
"12/23/2010","224.4"
